What Country or Region do you live in?,Which US State or Territory do you live in?,How old are you?,How many years of IT/Programming experience do you have?,How would you best describe the industry you currently work in?,Which best describes the size of your company?,Which of the following best describes your occupation?,What is your involvement in purchasing products or services for the company you work for? (You can choose more than one),,,,,,,What types of purchases are you involved in?,,,,,,"What is your budget for outside expenditures (hardware, software, consulting, etc) for 2011?",What type of project are you developing?,Which languages are you proficient in?,,,,,,,,,,,,,,,Which desktop operating system do you use the most?,What best describes your career / job satisfaction? ,"Including bonus, what is your annual compensation in USD?",Have you visited / Are you aware of Stack Overflow Careers?,Do you have a Stack Overflow Careers Profile?,"You answered you don't have a Careers profile, can you elaborate why?",,Which technology products do you own? (You can choose more than one),,,,,,,,,,,,,,,,,,,,"In the last 12 months, how much money have you spent on personal technology-related purchases? ",Please rate the advertising you've seen on Stack Overflow,,,,,,What advertisers do you remember seeing on Stack Overflow?,What is your current Stack Overflow reputation?,Which of our sites do you frequent most?,
Other Europe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
France,,25-29,40944,Manufacturing,Mid Sized (100-999),Desktop Application Developer,,,,,,No Involvement,,,,,,,,,Enterprise,Java,,,,Python,,,SQL,C#,,,,,,,Windows XP,I'm not happy in my job,"$20,000 - $40,000",Yes,"No, but I want one! (Please provide email and we will invite you)",,,,,,,Other Smart Phone,,,,,,,,,Xbox,,,,,,,"$501-$1,000",Agree,Strongly Agree,Agree,Disagree,Strongly Disagree,Disagree,,200,Stack Overflow,
France,,20-24,40944,Software Products,Mature Small Business (25-100),Web Application Developer,,,,,,No Involvement,,,,,,,,,Enterprise,,JavaScript,CSS,PHP,Python,,,SQL,,,,,HTML5,,,Linux,I enjoy going to work,"$20,000 - $40,000",Yes,"No, but I want one! (Please provide email and we will invite you)",,,,,,,Other Smart Phone,,,,,,,,,,,,,,,,<$100,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,,1,Stack Overflow,
United Kingdom,,25-29,41070,Web Services,Mature Small Business (25-100),Web Application Developer,,,,,,No Involvement,,,,,,,,,Web Platform,,JavaScript,CSS,PHP,,,,SQL,,,,,,,,Windows 7,Its a paycheck,"$20,000 - $40,000",Yes,No thank you,Thought Careers site was just about finding a job and I already have one,,,Android,,,,,,,,,,,,,Wii,,,,,,$100-$250,Neutral,Disagree,Strongly Disagree,Disagree,Strongly Disagree,Strongly Disagree,,500,Stack Overflow,
Other Europe,,25-29,40944,Software Products,Mature Small Business (25-100),Web Application Developer,,Recommender,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Germany,,25-29,<2,Other,Mid Sized (100-999),Other,Influencer,Recommender,,,,,,Hardware,,Software,"User Equipment: Monitors, PCs, Laptops",,,"<$10,000",Mobile,,,,,Python,Objective-C,,,,,C,,,,,Mac OS X,I enjoy going to work,"$20,000 - $40,000",Yes,No thank you,Thought Careers site was just about finding a job and I already have one,,iPhone,,,Windows Phone,,,,,,,,,,Xbox,,Other gaming system,,iPad,,,"$2,001-$3,000",Neutral,Neutral,Neutral,Neutral,Disagree,Disagree,,50,Stack Overflow,
Germany,,25-29,41070,Software Products,Start Up (1-25),Desktop Application Developer,,Recommender,,,,,,,,Software,"User Equipment: Monitors, PCs, Laptops",,,Don't know,Other,,,,,,,,SQL,C#,,,,,,,Windows 7,Love my job,Rather not say,Yes,Yes,,,,,,,Other Smart Phone,,,,,,,Netbook,,,Wii,Other gaming system,,,,,,Neutral,Disagree,Neutral,Neutral,Neutral,Neutral,,1000,Stack Overflow,
Other Europe,,25-29,40944,Software Products,Start Up (1-25),Desktop Application Developer,Influencer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Europe,,25-29,40944,Software Products,Start Up (1-25),Server Programmer,,,,,,No Involvement,,,,,,,,,Enterprise,Java,JavaScript,CSS,,,,,SQL,,,,,,,,Linux,Its a paycheck,Rather not say,No,No thank you,Thought Careers site was just about finding a job and I already have one,,,,,,,,,,,,,,,,,,,,,,<$100,Neutral,Neutral,Neutral,Strongly Disagree,Strongly Disagree,Agree,,Don't have an account,Stack Overflow,
India,,20-24,40944,Software Products,Mid Sized (100-999),Embedded Application Developer,,,,,,No Involvement,,,,,,,,,Mobile,Java,JavaScript,CSS,PHP,,Objective-C,,SQL,,,C,,,,,Mac OS X,I enjoy going to work,"<$20,000",No,"No, but I want one! (Please provide email and we will invite you)",,,iPhone,Android,,,,,,,,,,,,,,,,,,,$100-$250,Agree,Neutral,Strongly Agree,Strongly Agree,Agree,Strongly Disagree,Stackoverflow careers 2.0,500,Stack Overflow,
Other Asia,,20-24,40944,Software Products,Mid Sized (100-999),Web Application Developer,,,,,,No Involvement,,,,,,,,,Web Platform,,,,,,,Ruby,SQL,,,,,,,,Linux,I enjoy going to work,"$20,000 - $40,000",Yes,No thank you,Don't have anything cool to put on a profile,,,Android,,,,Regular Mobile Phone,,,,,,,,,,,,,,,"$2,001-$3,000",Agree,Neutral,Agree,Strongly Agree,Strongly Agree,Strongly Agree,,Don't have an account,Stack Overflow,
India,,20-24,<2,Software Products,"Fortune 1000 (1,000+)",Desktop Application Developer,,,,,,No Involvement,,,,,,,,,Mobile,Java,,,,,,,,,C++,C,,,,,Linux,Love my job,"<$20,000",No,"No, but I want one! (Please provide email and we will invite you)",,,iPhone,Android,,,,,,,,,,,,,,,,,Other tablet,,,Agree,Agree,Agree,Agree,Agree,Agree,,1,Stack Overflow,
Other Europe,,25-29,41070,Software Products,Mid Sized (100-999),Web Application Developer,Influencer,,,,,,,,,Software,,,,Don't know,Web Platform,,JavaScript,,,,,,SQL,C#,C++,C,,,,,Windows 7,Its a paycheck,Rather not say,Yes,Yes,,,,Android,,,,,Kindle,,,,,,,Xbox,,,,,,,"$501-$1,000",Agree,Agree,Neutral,Agree,Disagree,Disagree,,200,Stack Overflow,
France,,30-34,41070,Education,"Other (not working, consultant, etc.)",Server Programmer,Influencer,,,,,,,Hardware,Servers,Software,"User Equipment: Monitors, PCs, Laptops",,,Don't know,Web Platform,Java,,,,Python,,,,,,,,HTML5,,,Linux,I enjoy going to work,"$20,000 - $40,000",Yes,Yes,,,,Android,,,,,Kindle,,,,,Netbook,,,Wii,,,,,,"$1,001-$2,000",Agree,Neutral,Neutral,Agree,Disagree,Strongly Disagree,,50,Stack Overflow,
Italy,,40-50,11,Gaming,Mid Sized (100-999),IT Staff / System Administrator,Influencer,,,,,,,Hardware,Servers,Software,,,,Don't know,Enterprise,,,,,,,,,C#,,,,,,,Windows 7,I enjoy going to work,"$20,000 - $40,000",Yes,Yes,,,,,,Windows Phone,,,,,,,,,PS3,Xbox,,,,,,,$251-$500,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,some custom control for .net...,1000,Stack Overflow,
Germany,,20-24,40944,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Germany,,40-50,11,Software Products,Mature Small Business (25-100),Desktop Application Developer,Influencer,,,,,,,Hardware,Servers,Software,"User Equipment: Monitors, PCs, Laptops",Consultants,Other,Don't know,Other,,,,,,,,,C#,C++,C,,,,,Windows 7,Its a paycheck,"$40,000 - $60,000",Yes,Yes,,,,,,,,Regular Mobile Phone,,,,,,,,,,,,,,,$100-$250,Neutral,Neutral,Neutral,Strongly Disagree,Strongly Disagree,Strongly Agree,,10000,Stack Overflow,
India,,20-24,40944,Web Services,Start Up (1-25),"Executive (VP of Eng, CTO, CIO, etc.)",,,Approver,,,,,Hardware,Servers,Software,,,,"$10,001 - $25,000",SaaS,,JavaScript,CSS,PHP,Python,,,SQL,,C++,C,,HTML5,,,Linux,Love my job,Rather not say,Yes,No thank you,Don't have anything cool to put on a profile,,,Android,,,,Regular Mobile Phone,,,,,Other media streaming device,,,,,,,,,,"$2,001-$3,000",Disagree,Neutral,Neutral,Strongly Agree,Agree,Agree,php ide,1000,Stack Overflow,
Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,,30-34,41070,Software Products,Mid Sized (100-999),Embedded Application Developer,,Recommender,,,,,,,,Software,,,,"<$10,000",Mobile,,,,,,,,,,C++,C,,,,,Windows XP,I enjoy going to work,Rather not say,No,"No, but I want one! (Please provide email and we will invite you)",,,,Android,,,,,,,,,,,,,,,,,,,$251-$500,Agree,Neutral,Agree,Agree,Disagree,Neutral,"Developer tools, editor plugins etc.",Don't have an account,Stack Overflow,
United Kingdom,,25-29,41070,Finance / Banking,Start Up (1-25),Web Application Developer,,,,,,No Involvement,,,,,,,,,Web Platform,,JavaScript,CSS,,,,,SQL,C#,,,,,,,Windows 7,I enjoy going to work,"$80,000 - $100,000",Yes,Yes,,,,,,Windows Phone,,,Kindle,,,,,Netbook,,Xbox,Wii,,,iPad,,,"$1,001-$2,000",Neutral,Neutral,Neutral,Agree,Disagree,Strongly Disagree,,1000,Stack Overflow,
Other Europe,,25-29,40944,Finance / Banking,Mid Sized (100-999),Web Application Developer,Influencer,Recommender,Approver,,,,,,,Software,,,,">$150,000",Enterprise,,JavaScript,,,,,,SQL,C#,,,,,,,Windows XP,I enjoy going to work,"<$20,000",Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,<$100,Neutral,Agree,Neutral,Agree,Neutral,Strongly Disagree,Stack Overflow Careers,100,Stack Overflow,
Other Europe,,35-39,41070,Software Products,Start Up (1-25),Web Application Developer,,Recommender,,,,,,,,Software,,,,"<$10,000",Enterprise,Java,,,,,,,SQL,,,,,,,,Windows XP,Love my job,"$20,000 - $40,000",Yes,"No, but I want one! (Please provide email and we will invite you)",,,,Android,,,,,,,,,,,,,,,,,,,"$501-$1,000",Neutral,Neutral,Neutral,Strongly Disagree,Strongly Disagree,Neutral,,1,Stack Overflow,
Other Europe,,25-29,40944,Software Products,Start Up (1-25),Web Application Developer,Influencer,Recommender,,,,,,,,Software,,,,Don't know,Web Platform,Java,JavaScript,CSS,PHP,,,,SQL,C#,,,,HTML5,,,Windows 7,Love my job,"$40,000 - $60,000",Yes,Yes,,,,Android,,Windows Phone,,,,,AppleTV,,,,PS3,,,,,,Other tablet,,"$2,001-$3,000",,,,,,,,,,
United States of America,Michigan,40-50,11,Healthcare,Mid Sized (100-999),Systems Analyst,Influencer,Recommender,,,,,,,,Software,,,,"$100,001 - $150,000",Web Platform,,,,,,,,SQL,C#,,,,,,,Windows 7,Its a paycheck,"$60,000 - $80,000",Yes,No thank you,Thought Careers site was just about finding a job and I already have one,,iPhone,,,,Other Smart Phone,,,,AppleTV,,,Netbook,,,Wii,,,iPad,,,"$1,001-$2,000",Agree,Agree,Agree,Agree,Agree,Strongly Disagree,Stack overflow jobs board,Don't have an account,Stack Overflow,
Netherlands,,25-29,40944,Software Products,Start Up (1-25),Desktop Application Developer,,,,,,No Involvement,,,,,,,,,Enterprise,,,,PHP,Python,Objective-C,,,C#,C++,,,,,,Windows Vista,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Middle East,,25-29,40944,Web Services,Start Up (1-25),Web Application Developer,Influencer,Recommender,,,,,,Hardware,Servers,Software,"User Equipment: Monitors, PCs, Laptops",,,Don't know,Web Platform,Java,JavaScript,CSS,PHP,Python,,,SQL,,,C,,HTML5,,,Mac OS X,Love my job,Rather not say,Yes,Yes,,,iPhone,,,,,,,,,,,,,,,,,,,,"$2,001-$3,000",Agree,Disagree,Disagree,Neutral,Disagree,Agree,,10000,Stack Overflow,
Other Europe,,25-29,11,Software Products,Start Up (1-25),Web Application Developer,,,,,,No Involvement,,,,,,,,,Web Platform,,JavaScript,,PHP,,,,SQL,C#,C++,,,,,,Windows XP,Its a paycheck,"<$20,000",No,No thank you,Don't have anything cool to put on a profile,,,,,,,,,,,,,Netbook,,Xbox,,,,,,,"$2,001-$3,000",Disagree,Disagree,Disagree,Disagree,Strongly Disagree,Disagree,,Don't have an account,Stack Overflow,
India,,20-24,<2,Software Products,Mid Sized (100-999),Embedded Application Developer,,,,,,No Involvement,,,,,,,,,Mobile,,,,,,Objective-C,,,,,,,,,,Mac OS X,I enjoy going to work,"<$20,000",No,"No, but I want one! (Please provide email and we will invite you)",,,,,,,Other Smart Phone,Regular Mobile Phone,,,,,,Netbook,,,,,,,,,$251-$500,Neutral,Neutral,Neutral,Agree,Disagree,Agree,,1,Stack Overflow,
Other Europe,,35-39,41070,Foundation / Non-Profit,Mid Sized (100-999),Desktop Application Developer,Influencer,Recommender,Approver,,,,,,,Software,,Consultants,,"$100,001 - $150,000",Other,Java,JavaScript,,,,,Ruby,,,,,Perl,,,,Windows XP,I'm not happy in my job,"<$20,000",Yes,Yes,,,,Android,,,,,,,,,Other media streaming device,,PS3,,,,,,,,"$1,001-$2,000",Agree,Strongly Disagree,Disagree,Agree,Strongly Disagree,Strongly Agree,,3000,Stack Overflow,
United Kingdom,,35-39,11,Web Services,Start Up (1-25),Web Application Developer,Influencer,Recommender,Approver,Purchaser,Check Writer,,,Hardware,Servers,Software,"User Equipment: Monitors, PCs, Laptops",Consultants,,"$10,001 - $25,000",SaaS,,JavaScript,CSS,PHP,,,,SQL,,C++,C,,HTML5,,,Linux,Love my job,Rather not say,No,No thank you,Thought Careers site was just about finding a job and I already have one,,,Android,Blackberry,,Other Smart Phone,,,,,,,,,,,,,,,,$251-$500,Neutral,Disagree,Neutral,Agree,Strongly Disagree,Neutral,,1,Stack Overflow,
United Kingdom,,20-24,40944,Gaming,Mature Small Business (25-100),Other,Influencer,Recommender,,,,,,Hardware,,Software,"User Equipment: Monitors, PCs, Laptops",Consultants,,Don't know,Web Platform,,,,,Python,,,SQL,C#,C++,,,,,"Scheme, Ada, VBscript",Linux,I enjoy going to work,"$40,000 - $60,000",Yes,Yes,,,,,,,Other Smart Phone,,,,,,Other media streaming device,,,,Wii,,,,Other tablet,gaming rig,"$2,001-$3,000",Neutral,Neutral,Neutral,Disagree,Neutral,Disagree,I have to say I don't really notice the adverts.,1000,Stack Overflow,
Netherlands,,20-24,40944,Education,Student,Student,,,,,,No Involvement,,,,,,,,,Web Platform,Java,JavaScript,CSS,PHP,Python,,,SQL,C#,C++,,,,,Delphi (/pascal); ASP(.NET),Windows 7,I wish I had a job!,Student / Unemployed,Yes,No thank you,Other (please specify),"I'm just a student for now, so I don't need a job at this moment.",,,,,Other Smart Phone,,,,,,,,,,,,,,,,$251-$500,Neutral,Disagree,Agree,Neutral,Strongly Disagree,Disagree,--,Don't have an account,Stack Overflow,
Other Europe,,20-24,41070,Software Products,"Fortune 1000 (1,000+)",Server Programmer,,,,,,No Involvement,,,,,,,,,Mobile,Java,,,,,,,,,C++,,,,,,Windows Vista,Love my job,"$20,000 - $40,000",Yes,No thank you,Thought Careers site was just about finding a job and I already have one,,,Android,,,,,,,,,,,,,Wii,Other gaming system,,,,Desktop computer,$251-$500,Neutral,Neutral,Neutral,Agree,Disagree,Strongly Disagree,,1000,Stack Overflow,
Netherlands,,25-29,40944,Software Products,Mature Small Business (25-100),Web Application Developer,Influencer,Recommender,,,,,,,,Software,,,,Don't know,Enterprise,Java,,,,,,,SQL,C#,,,,,,,Windows 7,I enjoy going to work,Rather not say,Yes,No thank you,Thought Careers site was just about finding a job and I already have one,,,Android,,,Other Smart Phone,,,,,,Other media streaming device,Netbook,,,Wii,Other gaming system,,,,,"$501-$1,000",Neutral,Disagree,Neutral,Disagree,Strongly Disagree,Agree,,Don't have an account,Stack Overflow,
Netherlands,,20-24,40944,Web Services,Student,Web Application Developer,Influencer,Recommender,Approver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,,35-39,11,Consulting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Europe,,35-39,11,Software Products,Start Up (1-25),Web Application Developer,Influencer,Recommender,,Purchaser,,,,Hardware,,Software,"User Equipment: Monitors, PCs, Laptops",,,"<$10,000",Web Platform,Java,JavaScript,CSS,PHP,,,Ruby,SQL,,,,Perl,,,,Mac OS X,I enjoy going to work,"<$20,000",Yes,Yes,,,iPhone,,,,,,,,,,,,,,,,,iPad,,,"$501-$1,000",Agree,Neutral,Agree,Neutral,Disagree,Disagree,,1000,Stack Overflow,
Germany,,20-24,40944,Web Services,Start Up (1-25),Web Application Developer,,,,,,No Involvement,,,,,,,,,Web Platform,,JavaScript,CSS,PHP,,Objective-C,,SQL,,C++,,,HTML5,,,Windows 7,I enjoy going to work,Rather not say,Yes,No thank you,Thought Careers site was just about finding a job and I already have one,,,Android,,,,,Kindle,,,,,,,,Wii,,,,,,"$501-$1,000",Agree,Agree,Agree,Agree,Strongly Disagree,Strongly Disagree,,1,Stack Overflow,
Italy,,25-29,41070,Web Services,Start Up (1-25),Web Application Developer,,,Approver,,,,,Hardware,,Software,,,,"<$10,000",SaaS,,,,PHP,,,Ruby,,,,,,HTML5,,,Mac OS X,I enjoy going to work,Rather not say,Yes,No thank you,Thought Careers site was just about finding a job and I already have one,,iPhone,Android,,,,,,,,,,,,Xbox,Wii,Other gaming system,,iPad,,,$251-$500,Neutral,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,i just rmb this gopher,Don't have an account,Stack Overflow,
Other Europe,,< 20,41070,Software Products,Start Up (1-25),Desktop Application Developer,Influencer,Recommender,,,,,,Hardware,,Software,"User Equipment: Monitors, PCs, Laptops",,,"<$10,000",Mobile,Java,JavaScript,,PHP,,,,,,C++,,,HTML5,,,Windows 7,I enjoy going to work,"$20,000 - $40,000",Yes,No thank you,Thought Careers site was just about finding a job and I already have one,,,Android,,,,,,,,,,Netbook,,,,,,,Other tablet,,"$501-$1,000",Disagree,Disagree,Neutral,Neutral,Strongly Disagree,Strongly Disagree,,Don't have an account,Stack Overflow,
France,,25-29,40944,Consulting,Mature Small Business (25-100),Web Application Developer,,Recommender,,,,,,,,Software,,,,Don't know,Web Platform,Java,JavaScript,,,,,,SQL,,,,,,,,Linux,Its a paycheck,Rather not say,Yes,Yes,,,,Android,,,,,,,,,,,,,,,,,,,$100-$250,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,,50,Stack Overflow,
India,,20-24,<2,Software Products,Mature Small Business (25-100),IT Staff / System Administrator,,,,,,No Involvement,,,,,,,,,Mobile,,,,,,Objective-C,,,,,,,,,,Mac OS X,I enjoy going to work,Rather not say,Yes,"No, but I want one! (Please provide email and we will invite you)",,,,Android,,,,,,,,,,,,,,,,,,,<$100,Neutral,Disagree,Agree,Neutral,Disagree,Strongly Disagree,,100,Stack Overflow,
Russia,,20-24,<2,Software Products,Mature Small Business (25-100),Web Application Developer,,,Approver,,,,,,,Software,,,,"<$10,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australasia,,20-24,40944,Finance / Banking,Mid Sized (100-999),Web Application Developer,Influencer,,Approver,,,,,Hardware,,Software,,,,">$150,000",Mobile,Java,JavaScript,CSS,PHP,,Objective-C,,,C#,,,,,,,Mac OS X,I enjoy going to work,"$80,000 - $100,000",Yes,No thank you,Don't have anything cool to put on a profile,,iPhone,Android,,Windows Phone,,,,,,,Other media streaming device,,,Xbox,,,,iPad,,,">$3,000",Agree,Neutral,Neutral,Agree,Disagree,Disagree,,200,Stack Overflow,
Canada,,20-24,40944,Education,Student,Student,,,,,,No Involvement,,,,,,,,,None / Unemployed,Java,JavaScript,CSS,PHP,,,,,,C++,C,,,,,Linux,I wish I had a job!,Student / Unemployed,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,<$100,Neutral,Strongly Disagree,Neutral,Agree,Strongly Disagree,Strongly Disagree,,100,Stack Overflow,
United States of America,California,25-29,40944,Other,Mature Small Business (25-100),Other,,,,,,No Involvement,,,,,,,,,Enterprise,,,,,,,,SQL,C#,,,,,,,Windows 7,I enjoy going to work,"$40,000 - $60,000",Yes,Yes,,,iPhone,,,,,,,,,,,,,,Wii,,,,,,$251-$500,Agree,Agree,Disagree,Disagree,Strongly Disagree,Strongly Disagree,"Red Gate, Microsoft",1000,Super User,
Australia,,35-39,11,Consulting,"Other (not working, consultant, etc.)",Database Administrator,,Recommender,,,,,,,,Software,,,,Don't know,Enterprise,,,,,,,,SQL,,,,,,,,Windows 7,Love my job,"$100,000 - $120,000",Yes,Yes,,,,Android,,,,,,,,,,,,,,,,,,,"$1,001-$2,000",Disagree,Neutral,Neutral,Agree,Disagree,Disagree,Stackoverflow,10000,Stack Overflow,
Other Europe,,25-29,<2,Web Services,Start Up (1-25),Web Application Developer,,,Approver,,,,,,,Software,,,,"<$10,000",Web Platform,Java,JavaScript,CSS,PHP,,,,SQL,C#,C++,,,HTML5,,,Windows 7,I'm not happy in my job,Student / Unemployed,No,No thank you,Didn't know about Careers before you asked,,,Android,,,,,,,,,,,,,,,,,,,$100-$250,,,,,,,,,,
Africa,,30-34,11,Retail,Mature Small Business (25-100),Web Application Developer,Influencer,Recommender,,,,,,,,Software,"User Equipment: Monitors, PCs, Laptops",,,"<$10,000",Web Platform,,JavaScript,CSS,PHP,,,,,,,,,HTML5,,,Linux,Love my job,"$40,000 - $60,000",Yes,"No, but I want one! (Please provide email and we will invite you)",,,,Android,,,,,,,,,,Netbook,,,Wii,,,,,,"$1,001-$2,000",Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Strongly Disagree,,2000,Stack Overflow,
Netherlands,,30-34,41070,Healthcare,Start Up (1-25),Desktop Application Developer,,Recommender,,,,,,,,Software,,,,Don't know,Other,,,,,,,,,,C++,,,,,,Windows 7,Its a paycheck,"$20,000 - $40,000",Yes,No thank you,Thought Careers site was just about finding a job and I already have one,,,,,,,Regular Mobile Phone,,,,,,Netbook,,,,,,,,,$100-$250,Agree,Neutral,Agree,Strongly Disagree,Strongly Disagree,Agree,,1000,Stack Overflow,
Other Europe,,20-24,40944,Software Products,Mature Small Business (25-100),Desktop Application Developer,,,,,,No Involvement,,,,,,,,,Mobile,Java,,,,,,Ruby,,,,C,,,,,Linux,I enjoy going to work,"<$20,000",Yes,No thank you,Thought Careers site was just about finding a job and I already have one,,,,,,,,,,,,,,,,,,,,,,<$100,,,,,,,,,,
Africa,,25-29,41070,Other,Mid Sized (100-999),Other,Influencer,Recommender,,,,,,,,Software,,,,Don't know,Mobile,Java,JavaScript,CSS,PHP,Python,,,SQL,C#,C++,C,,HTML5,,,Windows 7,Love my job,"$40,000 - $60,000",Yes,"No, but I want one! (Please provide email and we will invite you)",,,,Android,,,,Regular Mobile Phone,,,,,,,PS3,,,,,,,,"$501-$1,000",Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Strongly Disagree,Windows Phone 7 competition ZA,1000,Stack Overflow,
Other Europe,,25-29,40944,Healthcare,Mid Sized (100-999),Manager of Developers or Team Leader,Influencer,Recommender,,,,,,,,Software,"User Equipment: Monitors, PCs, Laptops",,,"<$10,000",Web Platform,Java,JavaScript,CSS,,,,Ruby,,,,,,HTML5,,"CoffeeScript, Clojure, Haskell",Windows 7,I enjoy going to work,Rather not say,Yes,Yes,,,,Android,,,,,,,,,,,,,,,,,,,<$100,Neutral,Strongly Agree,Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,I saw a bunch of ads re;ated to OpenSource projects but I can't recall their exact names. Also a lot of .NET companies try selling their components. Adobe and Telerik were advertized in tags.,500,Stack Overflow,
Other Europe,,20-24,41070,Other,"Fortune 1000 (1,000+)",IT Staff / System Administrator,Influencer,Recommender,,,,,,,,Software,"User Equipment: Monitors, PCs, Laptops",Consultants,,">$150,000",Enterprise,Java,JavaScript,CSS,PHP,,,,SQL,C#,,,,HTML5,,,Windows XP,Love my job,"$20,000 - $40,000",No,No thank you,Thought Careers site was just about finding a job and I already have one,,,Android,Blackberry,,,Regular Mobile Phone,,,,,,,,Xbox,,,,,,,"$1,001-$2,000",Neutral,Neutral,Neutral,Disagree,Neutral,Disagree,,50,Stack Overflow,
Africa,,35-39,41070,Software Products,"Fortune 1000 (1,000+)",Web Application Developer,,,,,,No Involvement,,,,,,,,,Enterprise,Java,,,,,,,SQL,C#,C++,,,,,,Windows 7,I enjoy going to work,"$40,000 - $60,000",Yes,No thank you,Couldn't get an invite,,,,,,,Regular Mobile Phone,,,,,,,,,,,,,,,<$100,Neutral,Neutral,Neutral,Agree,Strongly Disagree,Strongly Disagree,,200,Other Stack Exchange (please specify),Judaism
